"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"1",1156291,"2004-JUL-19","PINU BAN",6370000,580000,38.2621
"2",1156291,"2016-SEP-07","PINU BAN",6370000,580000,76.6917
"3",1183821,"2004-JUL-20","BETU PAP",6290000,6e+05,45.17604
"4",1183821,"2004-JUL-20","POPU TRE",6290000,6e+05,1209.71396
"5",1183821,"2014-AUG-12","POPU TRE",6290000,6e+05,1806.85
"6",1211411,"2004-AUG-10","PICE MAR",6140000,480000,1863.56
"7",1211411,"2004-AUG-10","SALI SPP",6140000,480000,3.816134
"8",1211411,"2009-AUG-29","LARI LAR",6140000,480000,369.52029
"9",1211411,"2009-AUG-29","PICE MAR",6140000,480000,2727.93664
"10",1211411,"2009-AUG-29","PINU BAN",6140000,480000,39.05499
"11",1211411,"2009-AUG-29","POPU TRE",6140000,480000,30.0423
"12",1211411,"2019-AUG-26","LARI LAR",6140000,480000,544.51166
"13",1211411,"2019-AUG-26","PICE MAR",6140000,480000,3045.68955
"14",1211411,"2019-AUG-26","PINU BAN",6140000,480000,42.42948
"15",1211411,"2019-AUG-26","POPU TRE",6140000,480000,31.82211
"16",1225141,"2004-JUL-27","LARI LAR",6130000,350000,57.88914
"17",1225141,"2004-JUL-27","PICE MAR",6130000,350000,529.66896
"18",1225141,"2004-JUL-27","SALI SPP",6130000,350000,1.798881
"19",1225141,"2011-JUL-14","LARI LAR",6130000,350000,123.11244
"20",1225141,"2011-JUL-14","PICE MAR",6130000,350000,557.13666
"21",1225151,"2003-SEP-14","PINU BAN",6120000,390000,8.593936
"22",1225151,"2003-SEP-14","SALI SPP",6120000,390000,45.118164
"23",1225151,"2014-AUG-10","PINU BAN",6120000,390000,17.7683
"24",1225161,"2003-SEP-13","LARI LAR",6110000,430000,243.21798
"25",1225161,"2003-SEP-13","PICE MAR",6110000,430000,1366.75732
"26",1225161,"2009-AUG-29","LARI LAR",6110000,430000,291.39915
"27",1225161,"2009-AUG-29","PICE MAR",6110000,430000,1556.74765
